threshold,feature,mean_abs_shap
90.0,sr_total_phosphorus_3320,0.00781840977165558
90.0,sr_1_2_dichloroethane_3310,0.005058909519604063
90.0,sr_tetrahydrofuran_3310,0.005002035729680816
90.0,dioxane_3310,0.00485299894492415
90.0,field_conductivity_3310,0.004365267232642864
90.0,sr_nitrogen_nitrate_plus_nitrite_3310,0.004328799271453992
90.0,pH_3320,0.003781148694753069
90.0,temp_3320,0.00373193826176099
90.0,sr_tetrahydrofuran_3320,0.0030557175942222425
90.0,sr_1_2_dichloroethane_3320,0.002401556098886309
90.0,sr_nitrogen_nitrite_3310,0.0023820720044700635
90.0,field_total_suspended_solids_3310,0.002272440272410908
90.0,pH_3310,0.0010835976744485527
90.0,field_nitrogen_ammonia_3310,0.0008285580579204901
90.0,temp_3310,0.00034538317780652823
92.0,sr_total_phosphorus_3320,0.049751061412763635
92.0,field_conductivity_3310,0.049001410531759486
92.0,dioxane_3310,0.047730611440596565
92.0,sr_tetrahydrofuran_3310,0.033672439247702926
92.0,sr_nitrogen_nitrate_plus_nitrite_3310,0.031112707339438828
92.0,field_total_suspended_solids_3310,0.030204123429606555
92.0,temp_3320,0.027513979840886396
92.0,field_nitrogen_ammonia_3310,0.02576810592341749
92.0,pH_3320,0.022487806113357937
92.0,sr_1_2_dichloroethane_3310,0.018428181996389854
92.0,sr_nitrogen_nitrite_3310,0.01594340568923063
92.0,pH_3310,0.015893732984031208
92.0,sr_1_2_dichloroethane_3320,0.010722265354521074
92.0,sr_tetrahydrofuran_3320,0.005856300764243899
92.0,temp_3310,0.0037772823497059307
95.0,sr_total_phosphorus_3320,0.23363390264295997
95.0,sr_nitrogen_nitrate_plus_nitrite_3310,0.13777781361808245
95.0,field_conductivity_3310,0.12743254213988203
95.0,dioxane_3310,0.1262018742737406
95.0,field_total_suspended_solids_3310,0.115330505940484
95.0,temp_3320,0.11433457471073448
95.0,sr_tetrahydrofuran_3320,0.10076217026548513
95.0,field_nitrogen_ammonia_3310,0.07078579448723699
95.0,sr_1_2_dichloroethane_3310,0.06627033710529494
95.0,sr_tetrahydrofuran_3310,0.06248788457819876
95.0,sr_nitrogen_nitrite_3310,0.059970639568962064
95.0,sr_1_2_dichloroethane_3320,0.05150663377656892
95.0,pH_3320,0.03836029874152583
95.0,temp_3310,0.014343621276256623
95.0,pH_3310,0.010531853023365513
97.0,sr_total_phosphorus_3320,0.29774033043513604
97.0,sr_tetrahydrofuran_3320,0.18234388734526746
97.0,sr_nitrogen_nitrate_plus_nitrite_3310,0.17678480603707192
97.0,field_conductivity_3310,0.15353690400198491
97.0,dioxane_3310,0.14212416667179997
97.0,temp_3320,0.13683424473846245
97.0,sr_1_2_dichloroethane_3310,0.13432498112303373
97.0,field_total_suspended_solids_3310,0.10358059460621108
97.0,pH_3310,0.09998419310687444
97.0,sr_nitrogen_nitrite_3310,0.07781336690248418
97.0,field_nitrogen_ammonia_3310,0.06917322683157649
97.0,sr_tetrahydrofuran_3310,0.045366630697112297
97.0,sr_1_2_dichloroethane_3320,0.031596051972942206
97.0,temp_3310,0.01959644616503422
97.0,pH_3320,0.008344028684649384
98.0,sr_total_phosphorus_3320,0.9335178496560318
98.0,sr_1_2_dichloroethane_3310,0.8161835530142992
98.0,sr_tetrahydrofuran_3320,0.7014722673898565
98.0,sr_nitrogen_nitrate_plus_nitrite_3310,0.612225574905643
98.0,temp_3320,0.49469819756622996
98.0,sr_1_2_dichloroethane_3320,0.4912915168693379
98.0,dioxane_3310,0.42090669974314615
98.0,pH_3310,0.3767029964059655
98.0,temp_3310,0.2657297740490435
98.0,sr_nitrogen_nitrite_3310,0.25624568986257756
98.0,field_conductivity_3310,0.19580973384634492
98.0,field_nitrogen_ammonia_3310,0.11208669484605525
98.0,pH_3320,0.06370568949519449
98.0,field_total_suspended_solids_3310,0.05923675585471754
98.0,sr_tetrahydrofuran_3310,0.027416319806397083
