,mean_abs_shap
sr_total_phosphorus_3320,0.23363390264295997
sr_nitrogen_nitrate_plus_nitrite_3310,0.13777781361808245
field_conductivity_3310,0.12743254213988203
dioxane_3310,0.1262018742737406
field_total_suspended_solids_3310,0.115330505940484
temp_3320,0.11433457471073448
sr_tetrahydrofuran_3320,0.10076217026548513
field_nitrogen_ammonia_3310,0.07078579448723699
sr_1_2_dichloroethane_3310,0.06627033710529494
sr_tetrahydrofuran_3310,0.06248788457819876
sr_nitrogen_nitrite_3310,0.059970639568962064
sr_1_2_dichloroethane_3320,0.05150663377656892
pH_3320,0.03836029874152583
temp_3310,0.014343621276256623
pH_3310,0.010531853023365513
