,coef
temp_3320,-0.246264676344444
sr_nitrogen_nitrate_plus_nitrite_3310,-0.2333666889255993
sr_total_phosphorus_3320,-0.18784149008289489
sr_tetrahydrofuran_3320,-0.14300159797414772
sr_nitrogen_nitrite_3310,-0.136937246381316
dioxane_3310,0.1266110275999813
pH_3320,-0.09948069950135101
field_conductivity_3310,0.09505668193214586
sr_tetrahydrofuran_3310,0.09055641539741781
field_total_suspended_solids_3310,0.09037965220528159
field_nitrogen_ammonia_3310,0.08780288185468245
sr_1_2_dichloroethane_3310,0.0640112012598847
sr_1_2_dichloroethane_3320,0.037576999675069514
temp_3310,-0.02576863929717297
pH_3310,-0.009347997200412975
