feature,n_soft,n_good,median_soft,median_good,mean_soft,mean_good,diff_median_soft_minus_good,pct_diff_median,cohens_d,mannwhitney_p
dioxane_3340,226,879,130.0,43.0,212.82079646017698,44.28331058020478,87.0,202.32558139534885,0.5751867988490761,1.4071416773836492e-101
removal_3310_3340,215,860,99.54545454545456,99.79230769230767,99.15360399751259,99.7048948654664,-0.24685314685311255,-0.24736690889466303,-0.8101577347613798,1.4860149734120976e-43
sr_tetrahydrofuran_3320,221,872,2100.0,3200.0,3034.4660633484164,4623.325688073394,-1100.0,-34.375,-0.4406376510950565,2.887583344995342e-29
sr_benzene_3320,156,441,46.0,77.0,45.73211538461539,73.91428571428571,-31.0,-40.25974025974026,-1.104780184581723,3.930253600719166e-29
dioxane_3320,226,879,1800.0,2400.0,2054.1150442477874,2529.4880546075087,-600.0,-25.0,-0.4480050218270867,4.236448473429505e-28
blend_ratio,215,860,0.06,0.15,0.1107062742678737,0.18954379086175543,-0.09,-60.0,-0.5538875994423201,1.532032272212126e-27
sr_total_phosphorus_3320,209,840,1100.0,2200.0,1543.4736842105262,2320.6488095238096,-1100.0,-50.0,-0.5519248248555443,9.176689435308148e-23
sr_1_1_dichloroethane_3320,156,441,69.0,47.0,68.76282051282051,50.8530612244898,22.0,46.808510638297875,0.9342930001784654,2.090964360468201e-22
temp_3320,219,850,18.9,20.5,18.83150684931507,20.23290588235294,-1.6000000000000014,-7.804878048780495,-0.7897510462076155,2.0942984562232692e-21
sed_blend_gap,215,860,26600.0,13950.0,24945.441860465115,16141.488372093023,12650.0,90.68100358422939,0.6575558384442787,3.4501255878450626e-17
sr_1_1_dichloroethene_3320,156,441,16.0,11.0,15.304487179487179,11.794829931972789,5.0,45.45454545454545,0.703702239839251,4.243720758466153e-17
dioxane_3310,215,860,28000.0,17000.0,26811.162790697676,18619.06976744186,11000.0,64.70588235294117,0.6160577673867792,1.1083661748529392e-15
sr_nitrogen_nitrate_plus_nitrite_3310,210,837,50.0,240.0,931.9238095238095,6896.099283154122,-190.0,-79.16666666666666,-0.6067741983819225,6.232416125060727e-09
field_conductivity_3310,160,571,17.645,13.72,15.6326875,13.854224168126093,3.924999999999999,28.607871720116606,0.18802201286033124,8.202934216453785e-08
field_total_suspended_solids_3310,160,569,68.0,56.0,81.0375,66.29137082601055,12.0,21.428571428571427,0.33626580012567286,3.1906649692211676e-07
field_nitrogen_ammonia_3310,160,572,220.0,169.25,248.28812500000004,212.97653846153844,50.75,29.98522895125554,0.1728608960109864,0.00012804855532492379
sr_tetrahydrofuran_3310,211,854,29000.0,22000.0,32708.530805687205,27091.998438719747,7000.0,31.818181818181817,0.366072362717207,0.00037400499789003264
sr_1_2_dichloroethane_3310,209,729,720.0,2900.0,3029.004784688995,3477.9825788751714,-2180.0,-75.17241379310344,-0.12079320278796445,0.0031404742500084587
sr_trans_1_2_dichloroethene_3320,156,440,5.0,5.0,4.22323717948718,5.619215909090909,0.0,0.0,-0.31894607212721654,0.004456902408826259
sr_benzene_3310,169,487,1000.0,860.0,1058.0710059171597,907.1778918548938,140.0,16.27906976744186,0.21500222716791317,0.007589031375429712
sr_1_2_dichloroethane_3320,208,726,230.0,490.0,658.6211538461538,701.8142286501377,-260.0,-53.06122448979592,-0.05764434898429771,0.06362504141412795
sr_nitrogen_nitrite_3310,210,837,50.0,50.0,74.83428571428571,207.31385902031062,0.0,0.0,-0.3756993876461024,0.10912500346591364
sr_chloroform_3310,169,487,50.0,50.0,59.08337278106509,57.04792607802874,0.0,0.0,0.04944866061432483,0.2766000647473258
pH_3320,219,850,6.78,6.78,6.736055251141552,6.800894117647059,0.0,0.0,-0.14973900555749142,0.3706354430363872
sr_1_1_dichloroethane_3310,169,487,50.0,55.0,104.58461538461538,109.54295003422314,-5.0,-9.090909090909092,-0.04198519015457662,0.39357188993276393
temp_3310,160,571,14.75,15.6,15.428187499999998,15.860735551663748,-0.8499999999999996,-5.448717948717947,-0.09324000872059005,0.4327188110474586
sr_chloroform_3320,156,440,5.0,5.0,4.868782051282051,5.264886363636364,0.0,0.0,-0.09167671810790715,0.5227081434331813
pH_3310,160,571,6.745,6.73,6.7558750000000005,6.713660245183888,0.01499999999999968,0.22288261515601304,0.1658968528405463,0.5266389940439309
sr_1_1_dichloroethene_3310,169,487,50.0,50.0,57.98136094674557,56.33755646817249,0.0,0.0,0.04070264232754047,0.6619826359861001
sr_trans_1_2_dichloroethene_3310,169,487,50.0,50.0,54.66994082840236,53.63283367556468,0.0,0.0,0.028825812707240127,0.7195059316454373
