feature,n_soft,n_good,median_soft,median_good,mean_soft,mean_good,diff_median_soft_minus_good,pct_diff_median,cohens_d,mannwhitney_p
temp_3320,219,850,18.9,20.5,18.83150684931507,20.23290588235294,-1.6000000000000014,-7.804878048780495,-0.7897510462076155,2.0942984562232692e-21
pH_3320,219,850,6.78,6.78,6.736055251141552,6.800894117647059,0.0,0.0,-0.14973900555749142,0.3706354430363872
field_nitrogen_ammonia_3310,160,572,220.0,169.25,248.28812500000004,212.97653846153844,50.75,29.98522895125554,0.1728608960109864,0.00012804855532492379
sr_nitrogen_nitrate_plus_nitrite_3310,210,837,50.0,240.0,931.9238095238095,6896.099283154122,-190.0,-79.16666666666666,-0.6067741983819225,6.232416125060727e-09
sr_total_phosphorus_3320,209,840,1100.0,2200.0,1543.4736842105262,2320.6488095238096,-1100.0,-50.0,-0.5519248248555443,9.176689435308148e-23
sr_tetrahydrofuran_3320,221,872,2100.0,3200.0,3034.4660633484164,4623.325688073394,-1100.0,-34.375,-0.4406376510950565,2.887583344995342e-29
dioxane_3310,215,860,28000.0,17000.0,26811.162790697676,18619.06976744186,11000.0,64.70588235294117,0.6160577673867792,1.1083661748529392e-15
dioxane_3320,226,879,1800.0,2400.0,2054.1150442477874,2529.4880546075087,-600.0,-25.0,-0.4480050218270867,4.236448473429505e-28
blend_ratio,215,860,0.06,0.15,0.1107062742678737,0.18954379086175543,-0.09,-60.0,-0.5538875994423201,1.532032272212126e-27
sed_blend_gap,215,860,26600.0,13950.0,24945.441860465115,16141.488372093023,12650.0,90.68100358422939,0.6575558384442787,3.4501255878450626e-17
field_total_suspended_solids_3310,160,569,68.0,56.0,81.0375,66.29137082601055,12.0,21.428571428571427,0.33626580012567286,3.1906649692211676e-07
dioxane_3340,226,879,130.0,43.0,212.82079646017698,44.28331058020478,87.0,202.32558139534885,0.5751867988490761,1.4071416773836492e-101
removal_3310_3340,215,860,99.54545454545456,99.79230769230767,99.15360399751259,99.7048948654664,-0.24685314685311255,-0.24736690889466303,-0.8101577347613798,1.4860149734120976e-43
