threshold,rank,feature
90.0,1,sr_total_phosphorus_3320
90.0,2,sr_1_2_dichloroethane_3310
90.0,3,sr_tetrahydrofuran_3310
90.0,4,dioxane_3310
90.0,5,field_conductivity_3310
92.0,1,sr_total_phosphorus_3320
92.0,2,field_conductivity_3310
92.0,3,dioxane_3310
92.0,4,sr_tetrahydrofuran_3310
92.0,5,sr_nitrogen_nitrate_plus_nitrite_3310
95.0,1,sr_total_phosphorus_3320
95.0,2,sr_nitrogen_nitrate_plus_nitrite_3310
95.0,3,field_conductivity_3310
95.0,4,dioxane_3310
95.0,5,field_total_suspended_solids_3310
97.0,1,sr_total_phosphorus_3320
97.0,2,sr_tetrahydrofuran_3320
97.0,3,sr_nitrogen_nitrate_plus_nitrite_3310
97.0,4,field_conductivity_3310
97.0,5,dioxane_3310
98.0,1,sr_total_phosphorus_3320
98.0,2,sr_1_2_dichloroethane_3310
98.0,3,sr_tetrahydrofuran_3320
98.0,4,sr_nitrogen_nitrate_plus_nitrite_3310
98.0,5,temp_3320
