,importance
sr_total_phosphorus_3320,0.1557181813536088
sr_nitrogen_nitrate_plus_nitrite_3310,0.14176547366974515
sr_tetrahydrofuran_3320,0.13786570753249608
temp_3320,0.13175510953634148
dioxane_3310,0.10530189247939803
sr_nitrogen_nitrite_3310,0.07890679744709923
sr_1_2_dichloroethane_3310,0.06621255531429585
sr_tetrahydrofuran_3310,0.03496053510441325
field_conductivity_3310,0.032962062819580425
sr_1_2_dichloroethane_3320,0.032781205448841055
pH_3320,0.02581463773379506
field_nitrogen_ammonia_3310,0.023851666670743173
field_total_suspended_solids_3310,0.015274159134513717
pH_3310,0.009913101221436658
temp_3310,0.006916914533692236
