,mean_abs_shap
sr_total_phosphorus_3320,0.0942511909695186
dioxane_3310,0.052591249268279364
temp_3320,0.04443286234050392
sr_tetrahydrofuran_3320,0.04438113892278923
sr_nitrogen_nitrate_plus_nitrite_3310,0.04385634543845503
sr_nitrogen_nitrite_3310,0.0241674203136609
sr_1_2_dichloroethane_3320,0.01654489358068473
sr_1_2_dichloroethane_3310,0.013619434175595769
sr_tetrahydrofuran_3310,0.01220360525029413
field_conductivity_3310,0.011440989450973781
field_total_suspended_solids_3310,0.009213453743546223
field_nitrogen_ammonia_3310,0.008242159488598988
pH_3320,0.0079357634879203
pH_3310,0.003082837804228322
temp_3310,0.0015914529115143214
